"","Team","Game","Spread","Outcome","MIN","PTS","P2p","P3p","FTp","OREB","DREB","AST","TOV","STL","BLK","PF"
"1327","NOP",21901302,-6,"L",48,106,0.603448275862069,0.291666666666667,0.789473684210526,5,29,25,19,8,6,18
"1328","NOP",21901312,-6,"L",48,127,0.716981132075472,0.294117647058824,0.777777777777778,9,31,22,13,6,4,22
"1329","NYK",21900010,-9,"L",48,111,0.53125,0.333333333333333,0.722222222222222,5,34,24,14,16,1,32
"1330","NYK",21900019,-4,"L",48,109,0.375,0.68,0.571428571428571,9,30,17,26,14,4,31
"1331","NYK",21900029,-23,"L",48,95,0.436363636363636,0.259259259259259,0.764705882352941,16,39,15,24,7,4,26
"1332","NYK",21900042,7,"W",48,105,0.467741935483871,0.310344827586207,0.625,25,38,19,17,3,6,19
"1333","NYK",21900056,-12,"L",48,83,0.470588235294118,0.225806451612903,0.7,10,34,19,11,1,10,15
"1334","NYK",21900072,-2,"L",48,102,0.418181818181818,0.368421052631579,0.666666666666667,16,35,22,13,9,4,23
"1335","NYK",21900087,-21,"L",48,92,0.489795918367347,0.258064516129032,0.645161290322581,9,29,18,13,6,5,23
"1336","NYK",21900103,-20,"L",48,102,0.509090909090909,0.44,0.619047619047619,5,25,24,14,9,4,20
"1337","NYK",21900122,4,"W",48,106,0.377049180327869,0.5,0.580645161290323,14,42,19,12,9,3,20
"1338","NYK",21900136,-21,"L",48,87,0.4,0.290322580645161,0.64,17,35,19,21,11,8,26
"1339","NYK",21900149,-18,"L",48,102,0.464285714285714,0.3125,0.645161290322581,13,25,27,18,12,1,28
"1340","NYK",21900162,3,"W",48,106,0.453125,0.433333333333333,0.818181818181818,15,38,20,15,6,2,27
"1341","NYK",21900177,-1,"L",48,102,0.5,0.3,0.782608695652174,13,35,22,11,5,1,21
"1342","NYK",21900189,18,"W",48,123,0.48,0.347826086956522,0.771428571428571,19,28,17,7,8,10,24
"1343","NYK",21900202,-5,"L",48,104,0.457627118644068,0.52,0.733333333333333,7,35,17,14,8,6,25
"1344","NYK",21900229,-7,"L",48,104,0.471698113207547,0.375,0.6,10,27,30,11,12,3,22
"1345","NYK",21900236,-2,"L",48,101,0.422222222222222,0.514285714285714,0.5625,9,34,22,19,6,4,29
"1346","NYK",21900258,-28,"L",48,98,0.446808510638298,0.292682926829268,0.833333333333333,15,30,19,18,6,4,17
"1347","NYK",21900271,-6,"L",48,95,0.448275862068966,0.4,0.575757575757576,9,28,14,14,5,4,33
"1348","NYK",21900285,-9,"L",48,104,0.54,0.307692307692308,0.702702702702703,8,31,15,16,7,6,25
"1349","NYK",21900297,-44,"L",48,88,0.346153846153846,0.256410256410256,0.666666666666667,14,28,13,10,4,7,21
"1350","NYK",21900317,-37,"L",48,92,0.510204081632653,0.264705882352941,0.652173913043478,5,28,23,14,9,7,16
"1351","NYK",21900331,-1,"L",48,103,0.446153846153846,0.32258064516129,0.714285714285714,15,37,24,11,11,6,14
"1352","NYK",21900355,-28,"L",48,87,0.471698113207547,0.184210526315789,0.615384615384615,11,36,16,11,5,3,18
"1353","NYK",21900366,2,"W",53,124,0.508196721311475,0.413793103448276,0.764705882352941,12,46,25,19,5,7,24
"1354","NYK",21900378,2,"W",48,103,0.538461538461538,0.3,0.6,14,34,24,9,7,3,18
"1355","NYK",21900392,-6,"L",48,105,0.580645161290323,0.25,0.9,14,33,20,11,9,2,19
"1356","NYK",21900403,23,"W",48,143,0.597014925373134,0.464285714285714,0.774193548387097,13,42,30,12,7,6,21
"1357","NYK",21900424,-15,"L",48,114,0.516666666666667,0.294117647058824,0.666666666666667,13,28,23,8,11,2,25
"1358","NYK",21900434,-21,"L",48,102,0.447761194029851,0.3,0.714285714285714,9,38,23,15,10,6,27
"1359","NYK",21900447,-6,"L",48,115,0.508771929824561,0.416666666666667,0.8,11,33,29,14,4,10,25
"1360","NYK",21900461,12,"W",48,94,0.444444444444444,0.310344827586207,0.733333333333333,13,47,16,14,6,2,27
"1361","NYK",21900476,7,"W",48,107,0.5,0.354838709677419,0.769230769230769,11,45,25,22,5,5,25
"1362","NYK",21900505,24,"W",48,117,0.532258064516129,0.388888888888889,0.642857142857143,9,46,29,7,3,6,14
"1363","NYK",21900521,-8,"L",48,112,0.563636363636364,0.27027027027027,0.666666666666667,13,39,19,15,7,7,26
"1364","NYK",21900534,-3,"L",48,132,0.590163934426229,0.521739130434783,0.648648648648649,8,29,22,16,11,4,26
"1365","NYK",21900553,-30,"L",48,87,0.44,0.2,0.5625,15,32,15,16,10,3,20
"1366","NYK",21900561,-24,"L",48,104,0.458333333333333,0.36,1,14,27,18,9,3,1,17
"1367","NYK",21900569,-12,"L",48,111,0.561643835616438,0.185185185185185,0.7,14,32,26,13,13,1,16
"1368","NYK",21900584,3,"W",48,124,0.627118644067797,0.290322580645161,0.821428571428571,10,29,24,6,11,3,23
"1369","NYK",21900601,-26,"L",48,102,0.384615384615385,0.297297297297297,0.730769230769231,12,37,26,11,7,3,21
