Catchment name,NZTM_Easting,NZTM_Northing,Region,Segment length,Suspended sediment load,Ammoniacal nitrogen median pH,ANZECC elevation class,CHLA Mean,Dissolved oxygen,E. coli median,Temperature,Total nitrogen median,Total phosphorus median,Total suspended solids,Turbidity median,Visual clarity median
Wairoa River,1685611,6026222,Northland,374.3906701,892950.2,0.014541453,lowland,27.8882248,8.9092,267.8562479,16.0575,0.693638907,0.043716537,13.54877404,7.841681215,0.882273362
Wairoa River,1687598,6026126,Northland,768.4841483,687961.1,0.011670205,lowland,28.35834956,9.455,268.6926662,15.9996,0.596858803,0.038897769,11.63054323,6.752096706,0.901302989
Wairoa River,1687114,6025731,Northland,526.4575614,691268.3,0.01161619,lowland,26.18415734,9.4791,266.2073948,15.963,0.598107022,0.038728853,11.60646591,6.768917083,0.903918351
Wairoa River,1686845,6025505,Northland,199.6171482,691773.2,0.011603091,lowland,25.73281948,9.4516,267.7239947,15.9922,0.597897551,0.038728853,11.61716078,6.768917083,0.903918351
Wairoa River,1686230,6025610,Northland,1420.027508,694474.6,0.011650841,lowland,25.98402771,9.4377,270.6178375,16.0008,0.596341565,0.038764958,11.6573544,6.76534206,0.899643295
Wairoa River,1682811,6025658,Northland,1733.175655,978323.6,0.014740336,lowland,25.58601649,8.9211,273.8005208,16.0486,0.698520694,0.044046439,13.88033667,7.940594897,0.879311248
Wairoa River,1682725,6024275,Northland,1206.725703,978428,0.014732863,lowland,24.91360254,8.883,271.7992347,16.0671,0.698741694,0.044053161,14.05076596,7.962692326,0.879311248
Wairoa River,1681722,6023334,Northland,869.5977161,979186.2,0.014974892,lowland,24.7984198,8.9341,270.611043,16.0426,0.69750548,0.044072842,13.8963262,8.070147572,0.875643948
Wairoa River,1682503,6023442,Northland,778.7586702,979165.9,0.014789819,lowland,25.99642413,8.851,271.2686657,16.0649,0.702734254,0.044041054,14.12862831,7.962252257,0.881231862
Wairoa River,1681123,6023288,Northland,367.1084853,979201.1,0.014974892,lowland,24.79200398,8.9737,266.5940273,16.0347,0.69750548,0.044072842,13.8963262,8.070147572,0.875643948
Wairoa River,1680808,6023182,Northland,349.5425479,1033097.6,0.014671553,lowland,24.46355985,8.9909,268.1841592,16.0368,0.706290839,0.044148778,14.53115047,8.024770196,0.873806719
Wairoa River,1680607,6023121,Northland,102.3787333,1033136.9,0.014671553,lowland,24.60401218,8.9996,268.2983907,16.0448,0.707606402,0.044148778,14.53115047,8.024770196,0.873806719
Wairoa River,1680278,6022971,Northland,681.518485,1033323.9,0.014657173,lowland,24.62128408,9.0017,268.0668731,16.0516,0.707606402,0.044323249,14.48771854,8.026570119,0.875944118
Wairoa River,1679591,6022440,Northland,1132.553308,1034159.4,0.014664035,lowland,24.65632965,9.0025,267.32975,16.0563,0.714822531,0.044267519,14.474381,8.047133957,0.876398061
Wairoa River,1679057,6021903,Northland,381.6571058,1034189.1,0.014695451,lowland,24.47729132,8.9984,267.294025,16.0501,0.717472548,0.044241442,14.50440774,8.005845086,0.875842263
Wairoa River,1678908,6021753,Northland,42.40630586,1034199.2,0.014757074,lowland,24.47239114,8.9908,266.9563459,16.0429,0.716575939,0.044241442,14.50440774,6.725321542,0.906429659
Wairoa River,1678583,6021427,Northland,878.111092,1034241.4,0.014821809,lowland,24.59384455,8.9776,267.3156737,16.0424,0.716575939,0.044241442,14.52780494,7.994977676,0.875842263
Wairoa River,1678235,6020789,Northland,684.5267914,1073417.8,0.014564888,lowland,25.05856783,8.9991,270.9235352,16.0372,0.702423377,0.04452024,14.94169957,7.884557667,0.849684583
Wairoa River,1678475,6019970,Northland,1153.127018,1073454.5,0.014577884,lowland,25.94832631,8.9948,269.9003942,16.0484,0.703382586,0.044647684,14.95546773,7.854727772,0.850753037
Wairoa River,1679033,6019264,Northland,720.9075351,1073481.2,0.014596542,lowland,24.80880938,8.9639,272.2294167,16.0602,0.70354718,0.04452024,14.95546773,7.896404867,0.849768817
Wairoa River,1679469,6018831,Northland,508.8767159,1073481.2,0.014633063,lowland,24.871093,8.9639,273.0643267,16.0602,0.703903707,0.044791355,14.95546773,7.941845316,0.849836386
Wairoa River,1680281,6018023,Northland,1781.073972,1073858,0.014633063,lowland,24.21554777,8.869,272.6690985,16.0879,0.70394327,0.044791355,15.30734956,7.932283084,0.849836386
Wairoa River,1680942,6017365,Northland,84.81324457,1073894.5,0.014810012,lowland,24.64107339,8.8405,276.3406201,16.0915,0.703672074,0.044791355,15.45610288,6.867826796,0.891138536
Wairoa River,1681047,6017260,Northland,212.0332169,1073894.5,0.014959405,lowland,24.64299189,8.8405,276.9179212,16.0915,0.710663712,0.045016682,15.45610288,7.974647752,0.851953685
Wairoa River,1681268,6017010,Northland,471.618284,1074663.9,0.015060035,lowland,24.97167988,8.8082,279.0851472,16.0883,0.710663712,0.045066964,15.44898673,7.974647752,0.85277394
Wairoa River,1681555,6016456,Northland,873.8583936,1074721.5,0.015060035,lowland,24.95744358,8.8001,280.107351,16.0838,0.710663712,0.045066964,15.45610288,7.974647752,0.848394244
Wairoa River,1681786,6015784,Northland,661.8252913,1074721.5,0.015060035,lowland,24.91224853,8.8001,279.7243822,16.0838,0.711589859,0.045068323,15.45610288,7.974647752,0.848394244
Wairoa River,1681907,6015109,Northland,786.9149829,1074796.6,0.015060035,lowland,24.81185922,8.8065,281.2644514,16.0953,0.711589859,0.045068323,15.44898673,7.959777981,0.848394244
Wairoa River,1681969,6014363,Northland,756.9289636,1075686.5,0.015286821,lowland,25.7713259,8.8481,280.0663197,16.0847,0.716805199,0.045248022,15.20197451,7.985015273,0.837842871
Wairoa River,1682070,6013909,Northland,234.7442457,1075741,0.015449592,lowland,25.24402621,8.9166,279.9693383,16.0552,0.716805199,0.045375467,14.96580217,7.972784672,0.845536373
Wairoa River,1682105,6013784,Northland,42.40679763,1075741,0.015372322,lowland,24.8439221,8.9166,278.8660223,16.0552,0.716805199,0.045375467,14.96580217,6.824489051,0.892439635
Wairoa River,1682240,6013650,Northland,339.2545924,1075760.8,0.015484835,lowland,25.00108237,8.9284,276.1279244,16.0506,0.719241611,0.045460358,14.96580217,7.981809172,0.844838199
Wairoa River,1682406,6013485,Northland,127.2206045,1075848.8,0.015475945,lowland,24.99402914,8.9657,276.2727455,16.0404,0.716805199,0.04544131,14.95546773,7.985545672,0.845536373
Wairoa River,1682496,6013395,Northland,127.2205336,1075848.8,0.015463891,lowland,25.09102916,8.9657,276.6016762,16.0404,0.71973361,0.045446477,14.95546773,8.012135278,0.845259418
Wairoa River,1682706,6013186,Northland,466.4759023,1076096.2,0.015454502,lowland,25.14707811,8.9701,276.6077901,16.0448,0.720105879,0.045446477,14.95546773,8.009863994,0.845259418
Wairoa River,1682977,6012917,Northland,296.8487121,1076264.1,0.015495544,lowland,25.54308961,8.9683,276.6337652,16.0443,0.721420515,0.045589403,14.9520245,8.018393418,0.845259418
Wairoa River,1683172,6012722,Northland,254.4418436,1076279.2,0.015492953,lowland,25.77403865,8.9739,277.8485111,16.047,0.721889419,0.045589403,14.9520245,8.00086777,0.845259418
Wairoa River,1683518,6012378,Northland,720.9196509,1076315.2,0.015487593,lowland,25.05694651,8.97,278.6392508,16.0454,0.721889419,0.045589403,15.04873519,7.977512227,0.845259418
Wairoa River,1683818,6012079,Northland,127.2212391,1077141.9,0.015471524,lowland,25.06845336,8.9597,278.7794724,16.0354,0.722283222,0.045683896,15.04180658,7.991876268,0.850413703
Wairoa River,1684134,6011765,Northland,763.3284234,1077571,0.015390648,lowland,25.15102151,8.972,276.8053976,16.0405,0.732333719,0.045989395,15.04180658,8.008630682,0.850081183
Wairoa River,1684420,6011481,Northland,42.40722089,1077583.9,0.015272979,lowland,25.42643806,8.9731,276.14477,16.0401,0.732333719,0.045989395,14.95891175,6.906234298,0.897847066
Wairoa River,1684540,6011361,Northland,296.8504757,1077583.9,0.015390648,lowland,25.2860815,8.9731,277.0513784,16.0401,0.730287744,0.045989395,14.95891175,8.008630682,0.850081183
Wairoa River,1685549,6010629,Northland,2326.893927,1077630.1,0.015390648,lowland,25.23452676,8.9597,277.9327843,16.035,0.730287744,0.046017099,15.05220069,8.024305799,0.850081183
Wairoa River,1686243,6009457,Northland,905.9919499,1078141.4,0.015387646,lowland,24.80045264,8.7875,284.3405062,16.0709,0.730826572,0.046163256,15.54175291,8.033423131,0.850081183
Wairoa River,1686570,6008904,Northland,469.4967805,1078152.4,0.015387646,lowland,24.85221511,8.8224,284.214885,16.0741,0.730826572,0.046163256,15.38508854,8.053337926,0.850423025
Wairoa River,1686721,6008413,Northland,639.1272714,1078650.6,0.01517576,lowland,24.6657816,8.8105,281.5276714,16.0727,0.733300453,0.046519105,15.3815464,8.076881454,0.848731092
Wairoa River,1686936,6006033,Northland,4295.375156,1078677.8,0.015151147,lowland,24.70217472,8.7684,283.0100069,16.0885,0.73408535,0.046628607,15.49173288,7.855188388,0.850193927
Wairoa River,1686986,6003840,Northland,127.222856,1079101.6,0.015179504,lowland,24.71424523,8.7089,286.2743773,16.0857,0.733783528,0.046503668,15.41700453,7.912237829,0.849055495
Wairoa River,1687122,6003706,Northland,254.445853,1079136.5,0.015068455,lowland,24.72136278,8.7089,284.1057421,16.0857,0.732829962,0.046659755,15.41700453,7.893996741,0.848294731
Wairoa River,1687227,6003601,Northland,42.40771272,1079142.8,0.015068455,lowland,24.68771655,8.731,283.7605639,16.0857,0.732829962,0.046659755,15.41700453,7.892697564,0.848176174
Wairoa River,1687332,6003496,Northland,254.4460647,1079155.4,0.015104676,lowland,24.70656604,8.7302,284.92617,16.0942,0.732829962,0.046659755,15.43121066,7.892697564,0.849423368
Wairoa River,1687437,6003392,Northland,42.40778359,1079163.6,0.014862113,lowland,25.06344323,8.7468,283.0488089,16.0915,0.732264171,0.046640748,15.43121066,6.828223667,0.898516009
Wairoa River,1687557,6003272,Northland,296.853989,1079379.4,0.015083995,lowland,24.91485518,8.7465,282.5262162,16.0919,0.736862216,0.046574298,15.43121066,7.875717771,0.849885783
Wairoa River,1688084,6002747,Northland,1190.432512,1080976.5,0.015083995,lowland,24.97554249,8.7598,279.305574,16.0856,0.736862216,0.046574298,15.52029601,7.868659773,0.849885783
Wairoa River,1688459,6002374,Northland,42.40785381,1081006.2,0.01501927,lowland,27.34582282,8.5623,280.7566268,16.0853,0.735577148,0.046692366,15.50243789,7.834976554,0.853291247
Wairoa River,1688681,6002153,Northland,620.0599335,1081103.4,0.015072946,lowland,26.87396428,8.5638,280.7985691,16.0855,0.736383612,0.04680339,15.54533194,7.8263097,0.84720977
Waikato River,1789179,5829607,Waikato,594.9552674,213971.6,0.024598026,lowland,22.67709909,9.166,419.2284113,15.1663,1.09630626,0.073000083,14.73329891,11.74608388,0.622993474
Waikato River,1789030,5829039,Waikato,664.3782904,213531.5,0.024677663,lowland,21.19991988,9.1639,415.5437997,15.1641,1.09630626,0.073076496,14.73329891,11.73706376,0.623199006
Waikato River,1788710,5828622,Waikato,434.632583,213531.5,0.024595113,lowland,21.44781636,9.1639,417.3912362,15.1641,1.095635447,0.073076496,14.73329891,11.75046313,0.623199006
